Vx	V(q)	V(q_bar)
4.030000000000000e-01	2.123019e-01	1.799911e+00
4.040000000000000e-01	2.128756e-01	1.799909e+00
4.050000000000000e-01	2.134496e-01	1.799908e+00
4.060000000000000e-01	2.140239e-01	1.799906e+00
4.070000000000000e-01	2.145985e-01	1.799905e+00
4.080000000000000e-01	2.151733e-01	1.799904e+00
4.090000000000000e-01	2.157484e-01	1.799902e+00
4.100000000000000e-01	2.163237e-01	1.799901e+00
4.110000000000000e-01	2.168993e-01	1.799899e+00
4.120000000000000e-01	2.174752e-01	1.799898e+00
4.130000000000000e-01	2.180514e-01	1.799896e+00
4.140000000000000e-01	2.186278e-01	1.799894e+00
4.150000000000000e-01	2.192046e-01	1.799893e+00
4.160000000000000e-01	2.197815e-01	1.799891e+00
4.170000000000000e-01	2.203588e-01	1.799889e+00
4.180000000000000e-01	2.209363e-01	1.799888e+00
4.190000000000000e-01	2.215141e-01	1.799886e+00
4.200000000000000e-01	2.220922e-01	1.799884e+00
4.210000000000000e-01	2.226706e-01	1.799882e+00
4.220000000000000e-01	2.232492e-01	1.799881e+00
4.230000000000000e-01	2.238281e-01	1.799879e+00
4.240000000000000e-01	2.244073e-01	1.799877e+00
4.250000000000000e-01	2.249867e-01	1.799875e+00
4.260000000000000e-01	2.255665e-01	1.799873e+00
4.270000000000000e-01	2.261465e-01	1.799871e+00
4.280000000000000e-01	2.267268e-01	1.799869e+00
4.290000000000000e-01	2.273073e-01	1.799867e+00
4.300000000000000e-01	2.278882e-01	1.799865e+00
4.310000000000000e-01	2.284693e-01	1.799863e+00
4.320000000000000e-01	2.290507e-01	1.799861e+00
4.330000000000000e-01	2.296324e-01	1.799859e+00
4.340000000000000e-01	2.302144e-01	1.799857e+00
4.350000000000000e-01	2.307966e-01	1.799854e+00
4.360000000000000e-01	2.313792e-01	1.799852e+00
4.370000000000000e-01	2.319620e-01	1.799850e+00
4.380000000000000e-01	2.325451e-01	1.799847e+00
4.390000000000000e-01	2.331284e-01	1.799845e+00
4.400000000000000e-01	2.337121e-01	1.799843e+00
4.410000000000000e-01	2.342961e-01	1.799840e+00
4.420000000000000e-01	2.348803e-01	1.799838e+00
4.430000000000000e-01	2.354648e-01	1.799835e+00
4.440000000000000e-01	2.360496e-01	1.799833e+00
4.450000000000000e-01	2.366347e-01	1.799830e+00
4.460000000000000e-01	2.372201e-01	1.799827e+00
4.470000000000000e-01	2.378058e-01	1.799825e+00
4.480000000000000e-01	2.383917e-01	1.799822e+00
4.490000000000000e-01	2.389779e-01	1.799819e+00
4.500000000000000e-01	2.395645e-01	1.799816e+00
4.510000000000000e-01	2.401513e-01	1.799814e+00
4.520000000000000e-01	2.407384e-01	1.799811e+00
4.530000000000000e-01	2.413258e-01	1.799808e+00
4.540000000000000e-01	2.419135e-01	1.799805e+00
4.550000000000000e-01	2.425015e-01	1.799802e+00
4.560000000000000e-01	2.430898e-01	1.799799e+00
4.570000000000000e-01	2.436784e-01	1.799796e+00
4.580000000000000e-01	2.442672e-01	1.799792e+00
4.590000000000000e-01	2.448564e-01	1.799789e+00
4.600000000000000e-01	2.454458e-01	1.799786e+00
4.610000000000000e-01	2.460356e-01	1.799783e+00
4.620000000000000e-01	2.466256e-01	1.799779e+00
4.630000000000000e-01	2.472160e-01	1.799776e+00
4.640000000000000e-01	2.478066e-01	1.799772e+00
4.650000000000000e-01	2.483976e-01	1.799769e+00
4.660000000000000e-01	2.489888e-01	1.799765e+00
4.670000000000000e-01	2.495804e-01	1.799761e+00
4.680000000000000e-01	2.501722e-01	1.799758e+00
4.690000000000000e-01	2.507644e-01	1.799754e+00
4.700000000000000e-01	2.513568e-01	1.799750e+00
4.710000000000000e-01	2.519495e-01	1.799746e+00
4.720000000000000e-01	2.525426e-01	1.799742e+00
4.730000000000000e-01	2.531359e-01	1.799738e+00
4.740000000000000e-01	2.537296e-01	1.799734e+00
4.750000000000000e-01	2.543236e-01	1.799730e+00
4.760000000000000e-01	2.549179e-01	1.799726e+00
4.770000000000000e-01	2.555124e-01	1.799722e+00
4.780000000000000e-01	2.561073e-01	1.799717e+00
4.790000000000000e-01	2.567025e-01	1.799713e+00
4.800000000000000e-01	2.572980e-01	1.799708e+00
4.810000000000000e-01	2.578938e-01	1.799704e+00
4.820000000000000e-01	2.584899e-01	1.799699e+00
4.830000000000000e-01	2.590864e-01	1.799695e+00
4.840000000000000e-01	2.596831e-01	1.799690e+00
4.850000000000000e-01	2.602802e-01	1.799685e+00
4.860000000000000e-01	2.608775e-01	1.799680e+00
4.870000000000000e-01	2.614752e-01	1.799675e+00
4.880000000000000e-01	2.620732e-01	1.799670e+00
4.890000000000000e-01	2.626715e-01	1.799665e+00
4.900000000000000e-01	2.632702e-01	1.799659e+00
4.910000000000000e-01	2.638691e-01	1.799654e+00
4.920000000000000e-01	2.644684e-01	1.799649e+00
4.930000000000000e-01	2.650680e-01	1.799643e+00
4.940000000000000e-01	2.656679e-01	1.799638e+00
4.950000000000000e-01	2.662681e-01	1.799632e+00
4.960000000000000e-01	2.668687e-01	1.799626e+00
4.970000000000000e-01	2.674696e-01	1.799621e+00
4.980000000000000e-01	2.680707e-01	1.799615e+00
4.990000000000000e-01	2.686723e-01	1.799608e+00
5.000000000000000e-01	2.692741e-01	1.799602e+00
5.010000000000000e-01	2.698763e-01	1.799596e+00
5.020000000000000e-01	2.704788e-01	1.799590e+00
5.030000000000000e-01	2.710816e-01	1.799583e+00
5.040000000000000e-01	2.716848e-01	1.799577e+00
5.050000000000000e-01	2.722883e-01	1.799570e+00
5.060000000000000e-01	2.728921e-01	1.799564e+00
5.070000000000000e-01	2.734962e-01	1.799557e+00
5.080000000000000e-01	2.741007e-01	1.799550e+00
5.090000000000000e-01	2.747056e-01	1.799543e+00
5.100000000000000e-01	2.753107e-01	1.799536e+00
5.110000000000000e-01	2.759162e-01	1.799528e+00
5.120000000000000e-01	2.765220e-01	1.799521e+00
5.130000000000000e-01	2.771282e-01	1.799513e+00
